71.581  13.135  13.105  43.576  
69.201  27.094  94.981  81.708  
27.502  12.580  49.839  42.967  
11.361  18.569  74.671  31.221  
25.685  27.149  73.409  34.924  
57.756  31.935  5.132  7.852  
32.135  62.521  74.907  7.084  
15.324  92.867  52.920  65.058  
11.118  79.839  29.187  59.788  
86.695  46.039  69.493  37.692  
92.127  89.652  72.250  23.688  
40.340  43.734  44.009  88.904  
9.452  19.598  22.325  75.119  
58.965  61.544  27.436  24.421  
5.173  37.424  52.304  49.947  
72.200  64.596  36.472  41.022  
27.479  84.665  49.630  57.998  
23.286  18.709  16.372  38.401  
34.526  71.605  38.649  28.580  
85.900  57.236  6.184  92.454  
32.400  27.297  3.796  64.023  
88.886  32.225  99.981  70.957  
5.971  85.334  70.423  74.277  
64.648  3.155  78.046  32.629  
60.322  79.069  62.996  74.684  
69.014  89.913  12.840  4.024  
46.365  6.539  26.331  29.251  
51.796  76.487  79.641  82.486  
89.469  98.320  82.366  48.740  
90.322  17.258  37.117  18.537  
13.162  42.784  10.847  26.952  
6.361  27.429  79.429  83.274  
67.996  85.208  59.706  48.842  
70.028  12.025  2.922  40.698  
58.219  7.301  2.723  90.375  
97.745  80.890  65.706  44.774  
95.364  59.440  35.466  76.114  
22.503  79.333  47.767  37.623  
53.336  48.163  41.253  78.876  
36.388  58.755  87.980  17.950  
51.232  93.455  63.308  78.394  
40.509  81.518  51.620  4.500  
58.336  33.855  94.347  90.700  
27.916  86.812  88.144  55.651  
62.023  36.106  46.253  92.374  
62.204  15.658  90.468  12.932  
18.378  15.805  54.001  96.182  
85.744  23.517  17.394  69.929  
87.048  39.775  35.062  66.679  
43.247  89.011  82.673  45.239  
6.340  5.233  32.826  16.752  
76.105  29.269  59.422  95.053  
53.152  22.624  5.635  44.578  
0.646  86.233  54.640  77.986  
37.023  7.084  8.463  14.441  
70.123  78.545  90.127  3.391  
81.943  85.616  44.307  53.227  
14.375  23.800  64.410  56.840  
86.366  6.525  96.620  0.647  
29.995  27.211  59.408  41.002  
2.228  58.827  62.460  66.140  
33.939  84.419  91.657  80.427  
28.960  71.987  20.496  65.671  
80.581  22.976  97.911  46.133  
42.540  83.552  99.808  83.215  
55.301  10.473  8.177  57.021  
29.729  62.534  73.380  70.704  
36.782  18.040  71.805  80.528  
96.799  18.272  21.448  27.051  
72.698  76.069  42.092  50.489  
79.020  60.783  78.760  22.427  
53.292  41.981  41.189  33.793  
72.373  18.343  85.809  1.531  
23.276  57.274  94.522  72.129  
25.163  36.416  67.004  68.925  
72.995  54.438  6.819  38.804  
15.955  76.148  71.995  77.584  
33.204  4.243  22.386  69.557  
46.941  35.187  86.469  65.734  
53.837  81.138  3.787  49.700  
35.687  30.537  26.496  79.958  
38.480  2.839  12.465  52.798  
49.603  87.377  53.754  14.315  
33.189  99.694  52.832  87.117  
29.463  1.132  6.578  81.275  
86.237  96.080  77.183  52.234  
99.640  29.192  78.982  33.935  
88.852  3.094  2.462  22.185  
17.707  46.618  44.690  0.266  
30.948  33.962  2.189  36.517  
54.280  1.807  95.184  27.408  
41.176  4.947  67.185  66.894  
24.925  30.464  2.902  19.167  
41.127  11.397  18.506  21.667  
69.675  10.465  63.048  81.442  
78.344  76.762  61.239  17.200  
31.527  8.547  49.741  14.226  
91.631  41.011  30.585  52.751  
6.710  58.803  31.002  8.347  
67.222  58.694  61.785  29.454  
93.332  3.507  33.971  86.344  
77.541  19.611  60.297  69.963  
36.791  51.671  70.800  33.612  
26.884  11.659  2.701  83.989  
2.335  50.746  65.337  61.338  
7.520  18.199  67.664  92.560  
96.161  4.998  82.581  30.809  
87.459  57.291  93.726  99.835  
16.069  36.798  33.915  22.567  
92.166  42.886  4.161  35.121  
46.842  54.868  39.922  59.347  
65.345  42.944  23.293  46.489  
55.786  77.952  52.336  92.667  
52.425  61.090  54.671  60.000  
67.479  63.142  42.549  51.128  
98.274  66.253  11.818  71.651  
4.072  36.105  83.917  71.382  
15.514  96.925  35.438  26.428  
17.082  11.722  16.967  6.210  
83.889  42.211  59.489  85.934  
47.764  73.132  72.297  36.667  
75.242  59.989  67.366  4.738  
50.084  95.188  27.780  59.302  
93.348  98.065  3.452  52.040  
48.840  57.411  32.345  14.613  
